Display Name,Jurisdiction,Classification,Website,Tags,Website Flags,OMA Flags,Public Comment Flags,Report Card Flags,Public Comment Policy,score,correct,graded,grade
Firemen's Annuity and Benefit Fund of Chicago,Chicago,Board,http://www.fabf.org/,"Labor,Finance",,,No public comment policy,,,75.00,6,8,C
Forest Preserve District of Cook County,Cook County,Board,https://fpdcc.legistar.com/Calendar.aspx,"Parks,Cook County",,,"Pre-registration for public comment,Public comment related to agenda","Meeting days/times spread through week/day,Meetings recorded",https://legacy.cookcountyil.gov/secretary/Public%20Testimony%20Rules%20and%20Policies%20Page.html,82.00,9,11,B
Housing Authority of Cook County,Cook County,Board,http://thehacc.org/events/,"Housing,Cook County",,,No public comment policy,,,75.00,6,8,C
Illinois Medical District Commission,Chicago,Commission,http://medicaldistrict.org/commission/,"Health,Development",,,Pre-registration for public comment,,http://medicaldistrict.org/wp-content/uploads/2019/08/4-24-18_imd_meeting_policy.pdf,73.00,8,11,C
Laborers' and Retirement Board Employees' Annuity and Benefit Fund of Chicago,Chicago,Board,http://www.labfchicago.org/,"Finance,Labor",,,"Pre-registration for public comment,Public comment related to agenda,Overall comment time less than 1 hour",,http://www.labfchicago.org/assets/1/7/LABF_Open_Meetings_Act_Policy.pdf,55.00,6,11,F
Metra,Cook County,Board,https://metrarail.com/about-metra/leadership/board-meetings,"Transportation,Cook County",,,Overall comment time less than 1 hour,Meetings recorded,https://metrarail.com/sites/default/files/assets/about-metra/leadership/board_meetings/public_comment_form_disclaimer_2016.pdf,82.00,9,11,B
Metra Citizen Advisory Board,Cook County,Advisory Committee,https://metrarail.com/about-metra/leadership/citizen-advisory-board,"Transportation,Cook County",,,Overall comment time less than 1 hour,Meetings recorded,https://metrarail.com/sites/default/files/assets/about-metra/leadership/board_meetings/public_comment_form_disclaimer_2016.pdf,82.00,9,11,B
Metropolitan Pier and Exposition Authority,Chicago,Board,https://www.mpea.com/,Development,,,"Pre-registration for public comment,Overall comment time less than 1 hour",Frequently cancelled,http://www.mpea.com/wp-content/uploads/2017/05/Resolution-No.-MPEA-13-02-Public-Comment1.pdf,55.00,6,11,F
Metropolitan Water Reclamation District of Greater Chicago,Cook County,Board,https://mwrd.legistar.com/Calendar.aspx,"Water,Cook County",,,Overall comment time less than 1 hour,"Meetings recorded,Meetings livestreamed,Meeting days/times spread through week/day",https://mwrd.org/sites/default/files/documents/Rules_of_the_BOC.pdf,91.00,10,11,A
Municipal Employees' Annuity and Benefit Fund of Chicago,Chicago,,https://www.meabf.org/,"Labor,Finance",,,"Public comment related to agenda,Overall comment time less than 1 hour",,https://www.meabf.org/assets/media/files/visitor-rights.pdf,64.00,7,11,D
North River Expanded Mental Health Services Program and Governing Commission,Illinois,,http://www.northriverexpandedmentalhealthservicescommission.org/index.html,Health,,Agendas not posted,No public comment policy,,,63.00,5,8,D
Pace Suburban Bus Services,Cook County,Board,http://www.pacebus.com/sub/about/board_of_directors.asp,Transportation,,,Public comment related to agenda,"Meetings recorded,Meetings livestreamed",http://www.pacebus.com/sub/news_events/public_comment_rules.asp,82.00,9,11,B
Pace Suburban Bus Services Citizens Advisory Board,Cook County,Advisory Committee,http://www.pacebus.com/sub/about/citizens_advisory_board.asp,Transportation,,,Public comment related to agenda,"Meetings recorded,Meetings livestreamed",http://www.pacebus.com/sub/news_events/public_comment_rules.asp,82.00,9,11,B
Policemen's Annuity and Benefit Fund of Chicago,Chicago,Board,http://www.chipabf.org,"Labor,Finance",,,Pre-registration for public comment,,http://www.chipabf.org/ChicagoPolicePension/PDF/Election/2018/RESOLUTION-Open_MeetingsActRules.pdf,73.00,8,11,C
Public Building Commission of Chicago,Chicago,Board,http://www.pbcchicago.com/,Development,,,Pre-registration for public comment,,https://www.pbcchicago.com/wp-content/uploads/2018/02/Opening_Meetings_1-2011_Rev_1.pdf,73.00,8,11,C
Regional Transportation Authority,Cook County,Board,http://www.rtachicago.org/about-us/board-meetings,"Transportation,Cook County",,,No public comment policy,Meetings recorded,,88.00,7,8,B
South Cook County Mosquito Abatement District,Cook County,Board,https://www.sccmad.org/,"Health,Environment",,,No public comment policy,,,75.00,6,8,C
